subject,structural_ok,n_me_epochs,n_mi_epochs,n_usable_matched_pairs,n_unilateral_pairs,n_bilateral_pairs,movements_me,movements_mi,eligible_primary,eligible_min20,eligible_min40,eligible_strict,reason_codes,reason_detail,n_left_fist_me,n_left_fist_mi,n_right_fist_me,n_right_fist_mi,n_both_fists_me,n_both_fists_mi,n_both_feet_me,n_both_feet_mi,usable_pair_ids,e02_left_fist_n_me,e02_left_fist_n_mi,e02_left_fist_n_pairs,e02_left_fist_eligible,e02_left_fist_reasons,e02_right_fist_n_me,e02_right_fist_n_mi,e02_right_fist_n_pairs,e02_right_fist_eligible,e02_right_fist_reasons,e02_both_fists_n_me,e02_both_fists_n_mi,e02_both_fists_n_pairs,e02_both_fists_eligible,e02_both_fists_reasons,e02_both_feet_n_me,e02_both_feet_n_mi,e02_both_feet_n_pairs,e02_both_feet_eligible,e02_both_feet_reasons,e02_unilateral_n_me,e02_unilateral_n_mi,e02_unilateral_n_pairs,e02_unilateral_eligible,e02_unilateral_reasons,e02_bilateral_n_me,e02_bilateral_n_mi,e02_bilateral_n_pairs,e02_bilateral_eligible,e02_bilateral_reasons,strict_all_runs_valid,strict_reasons,expected_left_fist_me,frac_left_fist_me,expected_left_fist_mi,frac_left_fist_mi,expected_right_fist_me,frac_right_fist_me,expected_right_fist_mi,frac_right_fist_mi,expected_both_fists_me,frac_both_fists_me,expected_both_fists_mi,frac_both_fists_mi,expected_both_feet_me,frac_both_feet_me,expected_both_feet_mi,frac_both_feet_mi
32,True,38,13,3,3,0,left_fist|right_fist,left_fist|right_fist,False,False,False,False,MISSING_BILATERAL_PAIR|INSUFFICIENT_MI_EPOCHS,no usable bilateral matched pair; fewer than required MI epochs after rejection,19,6,19,7,0,0,0,0,03-04|07-08|11-12,19,6,2,False,INSUFFICIENT_MOVEMENT_MI,19,7,3,False,INSUFFICIENT_MOVEMENT_MI,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,38,13,3,False,INSUFFICIENT_MOVEMENT_MI,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.8260869565217391,16.0,0.375,22.0,0.8636363636363636,18.0,0.3888888888888889,22.0,0.0,22.0,0.0,23.0,0.0,23.0,0.0
33,True,88,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,20,23,23,22,21,21,24,23,03-04|05-06|07-08|09-10|11-12|13-14,20,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,24,23,3,True,ELIGIBLE,43,45,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,True,ELIGIBLE,21.0,0.9523809523809523,23.0,1.0,24.0,0.9583333333333334,22.0,1.0,21.0,1.0,22.0,0.9545454545454546,24.0,1.0,23.0,1.0
34,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,21,22,24,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
35,True,82,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,17,22,20,23,22,24,23,21,03-04|05-06|07-08|09-10|11-12|13-14,17,22,3,True,ELIGIBLE,20,23,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,37,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,18.0,0.9444444444444444,22.0,1.0,20.0,1.0,23.0,1.0,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0
36,True,57,76,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,15,20,11,19,17,20,14,17,03-04|05-06|07-08|09-10|11-12|13-14,15,20,3,True,ELIGIBLE,11,19,2,False,INSUFFICIENT_MOVEMENT_ME,17,20,3,True,ELIGIBLE,14,17,3,False,INSUFFICIENT_MOVEMENT_ME,26,39,3,True,ELIGIBLE,31,37,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.6521739130434783,23.0,0.8695652173913043,22.0,0.5,22.0,0.8636363636363636,22.0,0.7727272727272727,22.0,0.9090909090909091,23.0,0.6086956521739131,23.0,0.7391304347826086
37,True,75,75,5,3,2,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,23,22,22,15,15,15,15,03-04|05-06|07-08|09-10|11-12,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,15,15,2,True,ELIGIBLE,15,15,2,True,ELIGIBLE,45,45,3,True,ELIGIBLE,30,30,2,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,16.0,0.9375,22.0,0.6818181818181818,15.0,1.0,23.0,0.6521739130434783
38,True,83,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,21,23,22,21,21,23,19,22,03-04|05-06|07-08|09-10|11-12|13-14,21,23,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,21,23,3,True,ELIGIBLE,19,22,3,True,ELIGIBLE,43,44,3,True,ELIGIBLE,40,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,23.0,0.9130434782608695,23.0,1.0,22.0,1.0,22.0,0.9545454545454546,23.0,0.9130434782608695,23.0,1.0,22.0,0.8636363636363636,22.0,1.0
39,True,67,70,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,18,19,18,18,14,15,17,18,03-04|05-06|07-08|09-10|11-12|13-14,18,19,3,True,ELIGIBLE,18,18,3,True,ELIGIBLE,14,15,3,False,INSUFFICIENT_MOVEMENT_ME,17,18,3,True,ELIGIBLE,36,37,3,True,ELIGIBLE,31,33,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.782608695652174,23.0,0.8260869565217391,22.0,0.8181818181818182,22.0,0.8181818181818182,23.0,0.6086956521739131,23.0,0.6521739130434783,22.0,0.7727272727272727,22.0,0.8181818181818182
40,True,80,68,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,14,17,16,21,19,19,19,03-04|05-06|07-08|09-10|11-12|13-14,23,14,3,False,INSUFFICIENT_MOVEMENT_MI,17,16,3,True,ELIGIBLE,21,19,3,True,ELIGIBLE,19,19,3,True,ELIGIBLE,40,30,3,True,ELIGIBLE,40,38,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,1.0,16.0,0.875,22.0,0.7727272727272727,19.0,0.8421052631578947,22.0,0.9545454545454546,22.0,0.8636363636363636,23.0,0.8260869565217391,23.0,0.8260869565217391
41,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,24,23,21,22,23,23,22,03-04|05-06|07-08|09-10|11-12|13-14,22,24,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0
42,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,23,23,24,22,21,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,23,24,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0
43,True,66,66,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,19,14,22,19,12,17,13,16,03-04|05-06|07-08|09-10|11-12|13-14,19,14,3,False,INSUFFICIENT_MOVEMENT_MI,22,19,3,True,ELIGIBLE,12,17,3,False,INSUFFICIENT_MOVEMENT_ME,13,16,3,False,INSUFFICIENT_MOVEMENT_ME,41,33,3,True,ELIGIBLE,25,33,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.8636363636363636,23.0,0.6086956521739131,23.0,0.9565217391304348,22.0,0.8636363636363636,20.0,0.6,23.0,0.7391304347826086,20.0,0.65,22.0,0.7272727272727273
44,True,24,21,5,3,2,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,False,True,False,False,INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,4,6,8,4,5,5,7,6,03-04|05-06|07-08|09-10|11-12,4,6,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,8,4,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,5,5,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,7,6,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,12,10,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,12,11,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.17391304347826086,22.0,0.2727272727272727,22.0,0.36363636363636365,23.0,0.17391304347826086,21.0,0.23809523809523808,23.0,0.21739130434782608,24.0,0.2916666666666667,22.0,0.2727272727272727
45,True,45,41,5,3,2,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,16,17,16,17,4,4,9,3,03-04|07-08|09-10|11-12|13-14,16,17,3,True,ELIGIBLE,16,17,3,True,ELIGIBLE,4,4,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,9,3,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,32,34,3,True,ELIGIBLE,13,7,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.7272727272727273,23.0,0.7391304347826086,23.0,0.6956521739130435,22.0,0.7727272727272727,23.0,0.17391304347826086,24.0,0.16666666666666666,22.0,0.4090909090909091,21.0,0.14285714285714285
46,True,79,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,20,23,21,21,21,22,17,23,03-04|05-06|07-08|09-10|11-12|13-14,20,23,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,17,23,3,True,ELIGIBLE,41,44,3,True,ELIGIBLE,38,45,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.9090909090909091,23.0,1.0,23.0,0.9130434782608695,22.0,0.9545454545454546,22.0,0.9545454545454546,22.0,1.0,23.0,0.7391304347826086,23.0,1.0
47,True,90,85,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,24,22,21,23,21,22,19,03-04|05-06|07-08|09-10|11-12|13-14,23,24,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,19,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,40,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,19.0,1.0
48,True,0,0,0,0,0,,,False,False,False,False,INSUFFICIENT_MATCHED_PAIRS|MISSING_UNILATERAL_PAIR|MISSING_BILATERAL_PAIR|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,fewer than two usable matched ME/MI pairs; no usable unilateral matched pair; no usable bilateral matched pair; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,0,0,0,0,0,0,0,0,,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.0,22.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,24.0,0.0,22.0,0.0,21.0,0.0
49,True,19,35,5,3,2,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,False,False,False,False,INSUFFICIENT_ME_EPOCHS,fewer than required ME epochs after rejection,5,9,6,8,6,9,2,9,03-04|05-06|07-08|09-10|11-12,5,9,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,6,8,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,6,9,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,2,9,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,11,17,3,False,INSUFFICIENT_MOVEMENT_ME,8,18,2,False,INSUFFICIENT_MOVEMENT_ME,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.22727272727272727,23.0,0.391304347826087,23.0,0.2608695652173913,22.0,0.36363636363636365,22.0,0.2727272727272727,21.0,0.42857142857142855,23.0,0.08695652173913043,24.0,0.375
50,True,90,78,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,24,23,21,22,23,18,22,15,03-04|05-06|07-08|09-10|11-12|13-14,24,23,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,23,18,3,True,ELIGIBLE,22,15,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,33,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,23.0,1.0,18.0,1.0,22.0,1.0,16.0,0.9375
51,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,24,22,21,22,21,23,24,03-04|05-06|07-08|09-10|11-12|13-14,23,24,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,23,24,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,22.0,1.0,21.0,1.0,23.0,1.0,24.0,1.0
52,True,44,37,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,False,False,ELIGIBLE,eligible under primary rule,11,12,12,9,8,9,13,7,03-04|05-06|07-08|09-10|11-12|13-14,11,12,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,12,9,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,8,9,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,13,7,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,23,21,3,True,ELIGIBLE,21,16,3,True,ELIGIBLE,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.5,24.0,0.5,23.0,0.5217391304347826,21.0,0.42857142857142855,22.0,0.36363636363636365,22.0,0.4090909090909091,23.0,0.5652173913043478,23.0,0.30434782608695654
53,True,74,65,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,17,15,16,18,21,16,20,16,03-04|05-06|07-08|09-10|11-12|13-14,17,15,3,True,ELIGIBLE,16,18,3,True,ELIGIBLE,21,16,3,True,ELIGIBLE,20,16,3,True,ELIGIBLE,33,33,3,True,ELIGIBLE,41,32,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.7727272727272727,22.0,0.6818181818181818,23.0,0.6956521739130435,23.0,0.782608695652174,22.0,0.9545454545454546,23.0,0.6956521739130435,23.0,0.8695652173913043,22.0,0.7272727272727273
54,True,34,29,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,False,True,False,False,INSUFFICIENT_MI_EPOCHS,fewer than required MI epochs after rejection,11,7,8,8,6,4,9,10,03-04|05-06|07-08|09-10|11-12|13-14,11,7,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,8,8,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,6,4,2,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,9,10,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,19,15,3,True,ELIGIBLE,15,14,3,False,INSUFFICIENT_MOVEMENT_MI,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.5,23.0,0.30434782608695654,23.0,0.34782608695652173,21.0,0.38095238095238093,21.0,0.2857142857142857,23.0,0.17391304347826086,24.0,0.375,22.0,0.45454545454545453
55,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,23,23,22,23,23,22,22,03-04|05-06|07-08|09-10|11-12|13-14,22,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0
56,True,15,6,2,1,1,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|right_fist,False,False,False,False,MOVEMENT_COMPOSITION|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,movement composition not represented in both modes; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,4,0,3,2,3,3,5,1,03-04|09-10,4,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,3,2,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,3,3,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,5,1,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,7,2,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,8,4,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.17391304347826086,22.0,0.0,22.0,0.13636363636363635,23.0,0.08695652173913043,23.0,0.13043478260869565,23.0,0.13043478260869565,22.0,0.22727272727272727,22.0,0.045454545454545456
57,True,79,81,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,23,20,19,20,21,17,18,03-04|05-06|07-08|09-10|11-12|13-14,22,23,3,True,ELIGIBLE,20,19,3,True,ELIGIBLE,20,21,3,True,ELIGIBLE,17,18,3,True,ELIGIBLE,42,42,3,True,ELIGIBLE,37,39,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,24.0,0.9166666666666666,24.0,0.9583333333333334,21.0,0.9523809523809523,21.0,0.9047619047619048,22.0,0.9090909090909091,22.0,0.9545454545454546,20.0,0.85,23.0,0.782608695652174
58,True,88,65,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,23,24,22,21,22,9,21,11,03-04|05-06|07-08|09-10|11-12|13-14,23,24,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,22,9,3,False,INSUFFICIENT_MOVEMENT_MI,21,11,3,False,INSUFFICIENT_MOVEMENT_MI,45,45,3,True,ELIGIBLE,43,20,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,1.0,24.0,1.0,22.0,1.0,21.0,1.0,23.0,0.9565217391304348,23.0,0.391304347826087,22.0,0.9545454545454546,22.0,0.5
59,True,85,73,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,20,18,23,16,21,20,21,19,03-04|05-06|07-08|09-10|11-12|13-14,20,18,3,True,ELIGIBLE,23,16,3,True,ELIGIBLE,21,20,3,True,ELIGIBLE,21,19,3,True,ELIGIBLE,43,34,3,True,ELIGIBLE,42,39,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,22.0,0.9090909090909091,21.0,0.8571428571428571,23.0,1.0,20.0,0.8,22.0,0.9545454545454546,22.0,0.9090909090909091,23.0,0.9130434782608695,23.0,0.8260869565217391
60,True,70,69,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,17,20,18,19,21,16,14,14,03-04|05-06|07-08|09-10|11-12|13-14,17,20,3,True,ELIGIBLE,18,19,3,True,ELIGIBLE,21,16,3,True,ELIGIBLE,14,14,3,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI,35,39,3,True,ELIGIBLE,35,30,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.7391304347826086,23.0,0.8695652173913043,22.0,0.8181818181818182,22.0,0.8636363636363636,23.0,0.9130434782608695,21.0,0.7619047619047619,22.0,0.6363636363636364,24.0,0.5833333333333334
61,True,80,57,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,15,21,15,19,15,18,12,03-04|05-06|07-08|09-10|11-12|13-14,22,15,3,True,ELIGIBLE,21,15,3,True,ELIGIBLE,19,15,3,True,ELIGIBLE,18,12,3,False,INSUFFICIENT_MOVEMENT_MI,43,30,3,True,ELIGIBLE,37,27,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,24.0,0.9166666666666666,22.0,0.6818181818181818,21.0,1.0,23.0,0.6521739130434783,23.0,0.8260869565217391,24.0,0.625,22.0,0.8181818181818182,21.0,0.5714285714285714
62,True,89,84,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,23,22,22,23,20,22,19,03-04|05-06|07-08|09-10|11-12|13-14,22,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,20,3,True,ELIGIBLE,22,19,3,True,ELIGIBLE,44,45,3,True,ELIGIBLE,45,39,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,22.0,1.0,23.0,1.0,23.0,0.9565217391304348,22.0,1.0,23.0,1.0,20.0,1.0,22.0,1.0,20.0,0.95
63,True,86,79,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,22,17,23,19,20,21,21,22,03-04|05-06|07-08|09-10|11-12|13-14,22,17,3,True,ELIGIBLE,23,19,3,True,ELIGIBLE,20,21,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,45,36,3,True,ELIGIBLE,41,43,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,1.0,22.0,0.7727272727272727,23.0,1.0,23.0,0.8260869565217391,23.0,0.8695652173913043,22.0,0.9545454545454546,22.0,0.9545454545454546,23.0,0.9565217391304348
64,True,89,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,24,23,21,22,22,22,22,23,03-04|05-06|07-08|09-10|11-12|13-14,24,23,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,44,45,3,True,ELIGIBLE,True,ELIGIBLE,24.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,23.0,0.9565217391304348,23.0,1.0
